order_id,distance_km,package_weight_kg,traffic_index,weather,time_of_day,driver_experience_years,vehicle_type,shipment_volume,delivery_time_min,cost_inr
ORD1057,3.63,2.65,3,Rain,Evening,6.8,Bike,3,31.7,39.4
ORD1058,5.75,9.65,7,Clear,Afternoon,0.7,Bike,4,40.7,55.1
ORD1059,5.62,0.14,8,Clear,Night,8.1,Truck,2,45.4,80.09
ORD1060,1.31,0.46,10,Clear,Evening,4.0,Bike,2,25.4,22.54
ORD1061,-1.0,2.11,6,Clear,Morning,10.8,Bike,2,25.9,37.0
ORD1062,4.14,9.51,10,Rain,Afternoon,10.7,Van,1,44.2,71.23
ORD1063,6.19,1.33,9,Clear,Night,4.0,Bike,3,43.5,44.73
ORD1064,5.6,2.48,6,Clear,Night,10.8,Bike,2,28.1,39.22
ORD1065,4.42,0.15,9,Clear,Evening,12.0,Bike,2,36.5,41.79
ORD1066,0.7,,4,,Night,,Bike,3,11.8,
ORD1067,-1.0,15.1,8,Rain,Evening,10.2,Bike,1,46.7,61.19
ORD1068,4.88,11.75,4,Fog,Evening,3.1,Van,2,35.9,73.0
ORD1069,19.15,0.02,2,Clear,Afternoon,7.0,Bike,1,67.6,97.67
ORD1070,4.04,10.61,10,Rain,Afternoon,1.0,Van,3,50.6,65.45
ORD1071,5.77,3.57,9,Rain,Morning,1.3,Van,3,56.1,67.69
ORD1072,9.76,7.09,5,Clear,Afternoon,12.0,Van,3,53.0,68.72
ORD1073,7.73,2.12,4,Fog,Afternoon,4.1,Bike,2,41.8,59.33
ORD1074,11.29,2.54,2,Clear,Evening,9.0,Bike,3,40.3,64.67
ORD1075,1.33,2.35,1,Clear,Afternoon,9.7,Bike,4,15.5,29.15
ORD1076,2.04,3.85,7,Rain,Evening,10.3,Bike,2,28.5,34.12
ORD1077,2.99,0.53,6,Clear,Evening,12.0,Bike,1,18.5,37.73
ORD1078,1.12,0.11,2,Rain,Afternoon,3.0,Van,2,25.1,40.86
ORD1079,4.9,1.29,8,Rain,Morning,0.7,Bike,1,48.3,36.37
ORD1080,2.18,4.27,4,Clear,Morning,5.1,Bike,4,24.0,25.54
ORD1081,12.21,0.79,8,Rain,Night,1.7,Bike,1,65.1,68.72
ORD1082,2.47,3.92,7,Clear,Night,0.5,Van,1,31.6,41.46
ORD1083,3.65,12.26,5,Clear,Afternoon,4.5,Bike,4,33.8,48.58
ORD1084,8.03,0.35,10,Clear,Morning,9.4,Van,2,51.3,67.79
ORD1085,1.6,3.91,10,Fog,Evening,6.9,Bike,2,38.4,27.14
ORD1086,1.05,2.05,8,Clear,Night,3.9,Truck,2,29.8,67.69
ORD1087,5.33,7.09,9,Clear,Evening,7.9,Truck,1,31.7,91.84
ORD1088,5.61,0.68,5,Rain,Night,2.9,Bike,2,37.4,40.94
ORD1089,7.88,4.13,10,Rain,Afternoon,0.4,Bike,1,61.8,45.17
ORD1090,6.69,6.37,5,Rain,Morning,9.2,Bike,1,41.9,49.18
ORD1091,5.76,10.13,2,Clear,Night,7.6,Bike,1,25.5,60.6
ORD1092,2.71,4.02,5,Clear,Morning,9.2,Van,3,31.5,56.43
ORD1093,5.51,2.41,3,Clear,Evening,0.7,Van,3,33.8,52.56
ORD1094,5.74,3.37,7,Rain,Afternoon,10.1,Van,3,39.8,60.09
ORD1095,2.63,7.11,10,clear,Morning,7.5,Van,4,33.4,62.07
ORD1096,14.38,2.96,5,Clear,Afternoon,6.8,Bike,3,62.1,79.25
ORD1097,6.48,0.11,8,Fog,Morning,7.6,Bike,4,47.6,44.82
ORD1098,2.07,9.36,1,Clear,Evening,10.4,Van,2,23.1,64.94
ORD1099,7.9,4.09,3,Fog,Evening,7.1,Bike,1,36.1,55.51
ORD1100,8.79,3.95,3,Rain,Afternoon,7.1,Van,2,48.5,75.32
ORD1101,6.22,0.85,9,Rain,Evening,11.9,Bike,3,45.1,44.61
ORD1102,3.88,3.76,5,Clear,Night,9.1,Bike,1,21.3,49.2
ORD1103,2.54,1.75,9,Clear,Morning,5.4,Truck,2,29.3,75.52
ORD1104,4.41,3.69,9,Rain,Evening,8.5,Bike,1,39.8,42.15
ORD1105,5.93,0.39,1,Rain,Night,4.8,Truck,1,39.5,82.87
ORD1106,4.71,3.75,2,Rain,Afternoon,2.9,Truck,1,39.1,88.1
ORD1107,11.6,26.05,5,Clear,Night,7.2,Van,2,70.5,126.09
ORD1108,7.15,0.17,4,Rain,Afternoon,11.2,Van,2,50.8,59.92
ORD1109,2.31,13.23,10,Rain,Afternoon,11.2,Van,4,45.5,67.98
ORD1110,1.88,1.83,9,Rain,Morning,4.2,Truck,1,34.1,69.89
ORD1111,6.52,7.16,7,Rain,Morning,6.4,Bike,2,48.0,56.25
ORD1112,3.94,5.34,6,Rain,Night,2.7,Bike,2,40.7,38.14
ORD1113,7.55,2.93,7,Clear,Morning,11.9,Van,2,38.6,69.11
ORD1114,6.48,4.69,1,Clear,Morning,11.8,Bike,2,22.4,47.1
ORD1115,4.42,7.38,1,Clear,Morning,7.9,Bike,2,28.0,42.24
ORD1116,2.33,1.81,8,Clear,Night,9.7,Bike,1,21.9,32.39
ORD1117,1.17,1.39,2,Clear,Evening,8.6,Van,2,16.4,40.22
ORD1118,5.44,3.85,10,Clear,Morning,7.2,Truck,3,46.2,82.12
ORD1119,1.57,5.77,9,Clear,Morning,0.8,Bike,2,28.9,44.13
ORD1120,2.25,5.03,7,Clear,Night,5.6,Truck,2,32.3,71.37
ORD1121,5.21,5.59,6,Clear,Evening,8.2,Van,2,32.6,70.73
ORD1122,4.87,2.0,1,Rain,Morning,8.2,Van,6,45.4,51.07
ORD1123,1.75,5.96,1,Fog,Afternoon,4.6,Van,1,15.4,53.57
ORD1124,9.43,0.45,2,Clear,Night,11.3,Van,2,39.3,74.03
ORD1125,9.27,2.75,6,Fog,Morning,2.2,Bike,2,50.4,57.91
ORD1126,6.66,0.02,6,Clear,Morning,6.1,Van,2,40.0,63.99
ORD1127,6.65,1.37,2,Clear,Afternoon,8.4,Bike,2,26.5,48.3
ORD1128,6.66,1.6,1,Clear,Afternoon,8.4,Truck,2,37.6,86.31
ORD1129,8.74,1.77,10,Clear,Night,7.9,Truck,4,57.3,95.07
ORD1130,7.26,4.16,5,Rain,Night,3.4,Bike,2,51.6,46.86
ORD1131,2.49,1.72,5,Rain,Afternoon,2.0,Bike,2,126.4,32.57
ORD1132,3.9,2.08,2,Clear,Night,7.7,Van,1,15.5,48.23
ORD1133,17.88,0.95,6,Clear,Afternoon,7.3,Bike,4,76.8,94.54
ORD1134,0.75,1.64,9,Clear,Morning,2.3,Truck,1,118.4,68.57
ORD1135,3.23,0.9,2,Clear,Afternoon,8.5,Bike,1,8.2,33.96
ORD1136,9.46,0.27,10,Clear,Afternoon,5.6,Bike,3,54.8,54.52
ORD1137,2.63,3.24,2,Clear,Evening,8.1,Truck,2,28.2,80.45
ORD1138,7.39,3.86,3,Rain,Afternoon,10.1,Van,4,53.4,69.79
ORD1139,4.82,3.38,7,Fog,Afternoon,2.2,Van,2,41.6,53.64
ORD1140,2.78,2.18,6,Clear,Evening,0.4,Bike,1,24.7,31.53
ORD1141,0.6,1.67,8,Fog,Night,9.4,Van,6,147.2,42.96
ORD1142,5.33,6.97,8,Clear,Evening,7.4,Van,2,46.1,64.47
ORD1143,2.45,2.56,6,Clear,Morning,8.5,Van,2,22.2,53.52
ORD1144,4.29,2.28,10,Clear,Evening,10.1,Van,1,33.8,52.59
ORD1145,6.61,0.09,3,Clear,Morning,9.7,Van,3,30.2,59.73
ORD1146,8.29,1.46,3,Fog,Night,11.5,Bike,1,31.9,49.78
ORD1147,3.23,,1,Clear,Evening,,Bike,1,15.2,37.49
ORD1148,2.77,1.78,7,Clear,Evening,6.0,Van,1,33.2,49.04
ORD1149,1.55,3.04,5,Clear,Night,4.9,Bike,2,18.5,24.17
ORD1150,8.56,2.67,4,Clear,Morning,2.0,Van,3,41.6,72.98
ORD1151,16.32,3.28,10,Rain,Evening,7.0,Bike,2,83.2,76.11
ORD1152,9.16,5.07,4,Clear,Morning,3.5,Van,3,199.2,84.97
ORD1153,10.47,5.87,4,Clear,Evening,11.1,Van,1,44.5,86.93
ORD1154,2.64,4.43,6,Clear,Afternoon,7.1,Bike,3,31.9,23.7
ORD1155,6.35,10.89,8,Clear,Evening,7.2,Bike,1,36.7,53.72
ORD1156,7.84,0.06,8,Clear,Night,4.4,Bike,2,42.0,48.91
ORD1157,0.04,0.76,5,Rain,Night,0.8,Van,1,26.3,29.74
ORD1158,1.97,0.03,6,Clear,Morning,0.6,Van,2,27.3,47.29
ORD1159,12.76,3.65,4,Rain,Evening,5.2,Bike,2,61.6,79.16
ORD1160,1.29,7.99,9,Rain,Morning,1.2,Van,1,33.9,54.2
ORD1161,11.52,0.98,8,Rain,Morning,7.4,Bike,2,72.3,54.83
ORD1162,1.28,9.16,10,Clear,Afternoon,10.6,Bike,2,27.0,34.49
ORD1163,2.05,0.22,10,Clear,Afternoon,10.6,Truck,2,35.2,65.45
ORD1164,6.43,9.54,1,clear,Night,8.0,Bike,3,33.2,54.55
ORD1165,4.91,,2,,Morning,,Bike,2,30.9,
ORD1166,3.47,0.37,9,Clear,Night,10.4,Bike,4,33.7,27.5
ORD1167,12.45,2.33,8,Clear,Evening,10.7,Bike,2,53.5,74.86
ORD1168,1.59,1.04,3,Clear,Morning,2.5,Bike,1,15.5,30.07
ORD1169,4.17,1.17,8,Clear,Morning,8.9,Bike,3,31.6,40.67
ORD1170,6.98,1.29,1,Clear,Evening,3.6,Van,3,34.8,65.56
ORD1171,5.69,5.69,10,Clear,Evening,9.7,Bike,4,40.3,60.43
ORD1172,2.85,2.71,4,Rain,Night,12.0,Van,2,27.6,56.73
ORD1173,2.93,1.31,3,Clear,Night,0.6,Bike,1,13.3,31.76
ORD1174,8.21,3.3,6,Clear,Evening,10.8,Bike,4,40.9,55.02
ORD1175,8.46,4.41,7,Clear,Night,7.5,Van,3,38.7,83.84
ORD1176,5.8,1.11,4,Clear,Evening,11.7,Truck,3,145.2,91.06
ORD1177,2.37,1.87,7,Clear,Morning,5.7,Bike,3,24.6,23.71
ORD1178,3.0,0.45,9,Rain,Morning,10.2,Truck,3,47.7,78.7
ORD1179,4.6,0.7,2,Clear,Afternoon,0.9,Van,6,35.0,54.6
ORD1180,5.08,4.0,3,Rain,Morning,4.2,Van,2,44.3,58.03
ORD1181,6.8,0.7,5,Clear,Evening,1.0,Van,3,51.4,54.71
ORD1182,4.01,2.61,3,Clear,Night,11.7,Bike,3,27.3,37.41
ORD1183,8.09,4.32,8,Rain,Afternoon,9.8,Bike,1,49.0,58.4
ORD1184,8.03,0.4,10,Clear,Night,10.3,Van,3,48.5,77.26
ORD1185,10.7,2.93,8,Clear,Evening,11.3,Bike,2,54.3,72.12
ORD1186,4.74,1.04,8,Clear,Morning,1.2,Truck,2,36.4,78.55
ORD1187,5.86,11.53,9,Clear,Afternoon,4.8,Bike,5,48.0,61.85
ORD1188,4.24,2.31,4,Rain,Evening,1.0,Bike,4,39.0,43.4
ORD1189,2.39,5.74,5,Clear,Afternoon,2.7,Van,2,29.1,54.08
ORD1190,16.08,2.8,5,Rain,Afternoon,2.9,Bike,1,74.4,86.8
ORD1191,9.85,0.16,8,Rain,Morning,5.7,Van,1,56.0,73.95
ORD1192,7.93,3.51,7,Clear,Evening,3.4,Van,1,42.7,75.5
ORD1193,4.62,10.58,9,Fog,Night,1.4,Truck,2,56.0,97.34
ORD1194,2.22,3.22,8,Clear,Afternoon,2.2,Van,4,31.6,47.69
ORD1195,8.85,5.99,2,Fog,Afternoon,1.9,Van,4,56.6,68.06
ORD1196,4.18,7.55,10,Clear,Night,11.7,Van,3,43.3,57.43
ORD1197,6.22,0.91,4,Rain,Evening,9.2,Truck,2,47.3,90.59
ORD1198,2.99,0.83,6,Clear,Afternoon,11.6,Bike,2,23.9,21.15
ORD1199,5.55,3.3,2,Clear,Afternoon,5.4,Bike,3,26.4,52.18
ORD1200,3.14,,7,Clear,Afternoon,,Bike,2,25.3,39.14
ORD1201,3.24,,3,,Evening,,Bike,4,31.9,
ORD1202,5.5,8.06,3,Clear,Evening,4.0,Van,3,37.3,73.18
ORD1203,1.26,1.53,2,Clear,Night,3.7,Van,2,16.6,45.23
ORD1204,1.32,0.95,8,Rain,Evening,2.9,Van,3,36.2,41.38
ORD1205,2.62,5.31,6,Rain,Evening,1.7,Bike,1,36.4,30.1
ORD1206,3.97,1.12,1,Fog,Morning,3.2,Van,1,25.7,58.19
ORD1207,8.25,6.05,1,Rain,Night,4.4,Bike,1,38.5,68.76
ORD1208,4.14,1.93,7,Fog,Afternoon,8.2,Van,2,39.4,49.24
ORD1209,4.6,3.85,8,Rain,Evening,0.9,Van,4,47.8,53.04
ORD1210,3.75,0.35,5,Clear,Afternoon,2.7,Bike,4,23.1,33.59
ORD1211,5.86,3.42,5,Clear,Afternoon,9.7,Bike,1,29.1,44.61
ORD1212,2.37,2.1,4,Rain,Morning,1.9,Bike,2,27.1,31.83
ORD1213,4.3,3.09,6,Clear,Evening,4.2,Van,2,31.9,63.73
ORD1214,6.18,0.64,6,Clear,Night,10.4,Truck,3,38.7,75.69
ORD1215,5.47,4.67,3,Clear,Evening,2.0,Van,2,37.4,72.89
ORD1216,4.71,6.95,9,Fog,Afternoon,1.2,Bike,6,50.5,46.17
ORD1217,4.75,0.86,7,Clear,Night,5.9,Bike,4,33.9,41.8
ORD1218,6.58,0.35,1,Clear,Evening,3.8,Van,2,31.5,66.25
ORD1219,16.56,0.08,7,Clear,Afternoon,6.8,Van,2,65.1,108.35
ORD1220,2.51,3.59,5,Clear,Afternoon,9.7,Bike,2,15.0,34.24
ORD1221,16.85,3.27,5,Clear,Morning,1.8,Bike,1,67.4,95.15
ORD1222,2.41,2.77,2,Clear,Morning,7.1,Van,3,18.9,50.72
ORD1223,0.52,0.92,4,Clear,Morning,6.2,Bike,2,9.4,18.41
ORD1224,3.09,1.74,6,Rain,Afternoon,1.9,Bike,4,41.8,24.8
ORD1225,5.93,3.16,10,Clear,Evening,7.6,Bike,2,37.7,41.55
ORD1226,14.46,2.4,7,Rain,Morning,3.4,Van,1,72.1,98.81
ORD1227,2.22,15.42,5,Rain,Evening,6.0,Truck,2,39.4,88.52
ORD1228,6.56,0.51,9,Clear,Morning,1.2,Truck,2,51.5,84.39
ORD1229,1.45,4.16,3,Rain,Night,5.6,Van,3,34.9,56.33
ORD1230,14.13,1.81,1,Clear,Night,3.8,Van,1,44.6,101.36
ORD1231,9.97,1.96,4,Rain,Morning,9.9,Bike,4,54.9,61.55
ORD1232,3.24,,9,Clear,Afternoon,,Van,2,40.1,58.61
ORD1233,10.99,4.13,4,Rain,Morning,5.1,Bike,1,52.5,68.25
ORD1234,4.29,16.59,2,Clear,Morning,5.6,Van,1,24.1,78.46
ORD1235,10.3,0.48,10,Clear,Afternoon,8.8,Bike,2,54.7,64.19
ORD1236,4.68,0.38,5,Clear,Night,7.0,Bike,1,29.2,36.14
ORD1237,4.83,4.51,3,Rain,Evening,8.1,Bike,3,39.9,41.62
ORD1238,3.29,3.02,9,Rain,Morning,9.4,Bike,2,40.8,42.47
ORD1239,7.13,1.12,4,Clear,Afternoon,10.4,Bike,1,30.5,52.7
ORD1240,5.09,0.29,6,Clear,Morning,3.9,Bike,1,25.7,28.54
ORD1241,6.65,0.31,2,Clear,Afternoon,6.5,Truck,2,39.5,85.05
ORD1242,1.14,7.86,6,Rain,Evening,10.1,Bike,1,30.2,30.67
ORD1243,10.53,0.75,3,Clear,Evening,11.9,Van,3,40.6,77.25
ORD1244,12.22,1.37,9,Rain,Night,10.7,Truck,2,75.3,117.69
ORD1245,5.07,0.9,2,Clear,Afternoon,4.6,Truck,3,36.7,82.74
ORD1246,15.84,1.53,9,Clear,Afternoon,2.5,Van,2,77.6,96.87
ORD1247,13.6,0.25,5,Clear,Night,6.0,Van,1,55.9,90.58
ORD1248,7.24,2.56,8,Clear,Night,9.0,Bike,2,37.3,54.96
ORD1249,11.08,0.25,2,Clear,Afternoon,6.0,Bike,7,49.9,63.81
ORD1250,9.3,5.64,6,Clear,Night,5.9,Bike,3,43.8,62.3
ORD1251,0.87,0.93,3,Rain,Evening,10.1,Van,2,22.7,41.71
ORD1252,3.81,2.72,10,Clear,Morning,4.5,Van,3,39.3,63.17
ORD1253,7.57,7.42,5,Clear,Evening,10.3,Bike,4,50.4,63.23
ORD1254,12.73,3.68,8,Clear,Night,5.0,Bike,2,63.2,83.49
ORD1255,1.36,2.66,10,Clear,Afternoon,4.1,Van,3,36.7,41.81
ORD1256,0.93,1.37,1,Clear,Afternoon,5.6,Bike,1,9.2,23.92
ORD1257,4.48,1.42,5,Clear,Evening,9.2,Van,1,25.8,55.8
ORD1258,0.57,3.87,3,Clear,Afternoon,1.7,Van,3,18.0,43.79
ORD1259,4.37,17.99,4,Clear,Night,2.5,Van,1,33.3,82.54
ORD1260,6.03,3.79,2,Clear,Evening,11.4,Van,4,33.6,61.42
ORD1261,2.14,2.86,9,Clear,Afternoon,2.3,Truck,3,40.7,76.51
ORD1262,4.46,4.59,3,Clear,Morning,6.9,Bike,5,30.6,35.48
ORD1263,8.75,2.19,2,Clear,Morning,7.0,Van,2,37.0,68.36
ORD1264,3.08,0.22,10,Fog,Night,6.0,Van,4,42.2,58.94
ORD1265,2.45,2.89,9,Clear,Afternoon,7.8,Bike,1,20.7,30.07
ORD1266,4.31,11.06,7,Rain,Night,2.9,Bike,3,51.5,56.34
ORD1267,1.95,0.67,6,Clear,Evening,6.7,Bike,2,29.6,35.69
ORD1268,15.11,,1,Rain,Morning,4.6,Bike,2,68.5,76.04
ORD1269,4.79,0.79,5,Rain,Evening,8.0,Van,1,32.3,61.93
ORD1270,2.66,2.69,3,Clear,Afternoon,1.9,Van,2,26.2,53.45
ORD1271,5.44,0.36,1,Fog,Night,6.9,Bike,1,30.5,49.59
ORD1272,4.29,2.09,4,Clear,Night,2.4,Bike,1,22.9,33.25
ORD1273,3.95,4.94,2,Clear,Night,3.5,Truck,3,34.6,91.26
ORD1274,3.08,1.49,2,Rain,Evening,2.8,Bike,1,23.9,29.47
ORD1275,2.96,3.83,3,Rain,Morning,2.4,Bike,1,34.4,41.45
ORD1276,1.17,5.55,8,Clear,Evening,9.9,Van,4,31.2,48.06
ORD1277,11.07,9.17,8,Clear,Evening,3.6,Van,3,58.5,99.1
ORD1278,6.93,0.94,7,Clear,Afternoon,11.1,Bike,2,39.3,48.76
ORD1279,5.81,1.78,6,Clear,Afternoon,11.6,Bike,5,41.7,35.87
ORD1280,4.24,0.58,9,Rain,Afternoon,6.9,Bike,3,45.0,21.08
ORD1281,2.1,17.12,4,Clear,Morning,1.9,Van,4,34.8,70.55
ORD1282,2.53,9.16,1,Clear,Morning,4.6,Van,3,22.4,58.05
ORD1283,1.3,2.72,8,Clear,Afternoon,9.6,Bike,2,17.6,29.53
ORD1284,2.79,6.46,7,Clear,Afternoon,4.5,Van,3,32.7,55.15
ORD1285,1.86,2.58,7,Clear,Morning,1.2,Van,4,34.1,56.77
ORD1286,13.13,3.42,3,Clear,Night,6.8,Bike,3,52.6,79.43
ORD1287,8.37,0.33,4,Fog,Morning,10.2,Bike,2,44.9,51.41
ORD1288,4.94,4.93,10,Rain,Morning,9.6,Van,3,50.4,64.83
ORD1289,2.3,0.48,9,Clear,Morning,2.3,Bike,3,29.4,26.24
ORD1290,1.94,6.12,6,Rain,Afternoon,8.1,Bike,1,32.8,35.79
ORD1291,4.05,5.33,5,Rain,Night,2.8,Van,1,39.6,53.92
ORD1292,8.6,4.32,3,Rain,Morning,2.8,Truck,2,54.2,102.56
ORD1293,1.33,0.13,9,Clear,Afternoon,10.5,Van,1,27.8,38.39
ORD1294,6.87,1.26,5,Clear,Evening,3.1,Van,2,36.0,60.13
ORD1295,2.78,1.07,5,Clear,Evening,3.3,Van,1,21.0,58.16
ORD1296,3.19,1.56,4,Clear,Morning,0.2,Bike,3,14.3,28.32
ORD1297,4.83,0.32,4,Clear,Evening,10.5,Van,3,27.4,55.8
ORD1298,2.36,9.67,1,Clear,Night,9.6,Bike,3,22.9,38.4
ORD1299,3.9,2.82,7,Clear,Evening,7.6,Bike,1,18.9,40.1
ORD1300,2.2,1.28,9,Rain,Evening,9.1,Van,3,36.5,39.79
ORD1301,2.96,1.77,3,Clear,Night,2.0,Van,3,27.3,54.29
ORD1302,7.75,2.07,2,Clear,Morning,5.6,Bike,4,27.5,63.84
ORD1303,5.01,3.21,3,Fog,Morning,4.3,Truck,4,42.7,81.66
ORD1304,7.73,2.54,1,Fog,Night,1.3,Bike,4,46.9,60.36
ORD1305,2.75,8.81,6,Rain,Night,5.9,Bike,3,46.0,40.86
ORD1306,6.9,500.0,7,Fog,Night,11.1,Bike,2,44.2,58.11
ORD1307,1.02,16.97,2,Clear,Evening,0.7,Van,2,18.6,75.68
ORD1308,4.83,6.67,8,Fog,Night,3.6,Van,3,43.9,64.12
ORD1309,7.21,0.82,6,Clear,Afternoon,2.6,Bike,3,41.1,41.91
ORD1310,0.98,9.34,4,Clear,Evening,3.0,Van,3,25.0,57.87
ORD1311,2.78,0.43,5,Clear,Morning,10.9,Bike,1,101.6,31.44
ORD1312,4.83,5.95,8,Clear,Morning,5.7,Van,1,40.6,66.72
ORD1313,9.02,1.68,3,Clear,Morning,5.7,Bike,2,38.4,56.7
ORD1314,2.96,7.36,3,Clear,Evening,9.2,Bike,2,19.0,37.05
ORD1315,6.72,7.09,4,Rain,Afternoon,2.0,Truck,1,63.2,104.66
ORD1316,11.53,5.74,1,Clear,Night,5.9,Bike,3,48.3,76.63
ORD1317,6.93,5.46,9,Clear,Night,5.3,Bike,3,43.3,48.08
ORD1318,4.01,1.27,8,Rain,Morning,7.2,Van,5,47.9,57.18
ORD1319,6.05,0.3,8,Clear,Morning,12.0,Truck,1,37.6,88.29
ORD1320,2.89,1.81,10,Clear,Evening,9.3,Bike,2,20.8,31.23
ORD1321,4.97,0.67,6,Rain,Afternoon,4.9,Bike,1,39.0,47.98
ORD1322,4.15,4.16,7,Clear,Night,10.0,Bike,1,34.8,38.58
ORD1323,5.92,1.49,6,Clear,Evening,2.2,Van,1,29.5,61.25
ORD1324,3.4,13.0,9,Fog,Night,0.6,Bike,2,44.0,55.62
ORD1325,6.15,3.59,3,Clear,Morning,2.6,Van,3,33.2,66.6
ORD1326,3.37,6.05,3,Clear,Night,4.2,Truck,1,30.9,76.31
ORD1327,8.32,0.5,3,Rain,Afternoon,6.2,Bike,2,43.5,54.61
ORD1328,3.64,6.93,10,Rain,Afternoon,7.5,Bike,4,43.0,41.61
ORD1329,0.59,,3,,Morning,,Bike,2,9.1,
ORD1330,2.0,2.34,9,Clear,Afternoon,6.2,Bike,4,27.8,30.67
ORD1331,4.73,3.26,4,Clear,Afternoon,6.1,Truck,4,44.4,85.23
